Date,Good time to buy,Uncertain - depends,Bad time to buy,Relative
2022-02-28,37.0,4.0,59.0,78.0
2022-01-31,37.0,5.0,58.0,79.0
2021-12-31,39.0,4.0,57.0,82.0
2021-11-30,37.0,5.0,58.0,79.0
2021-10-31,40.0,5.0,55.0,85.0
2021-09-30,41.0,8.0,51.0,90.0
2021-08-31,45.0,4.0,51.0,94.0
2021-07-31,47.0,8.0,45.0,102.0
2021-06-30,53.0,6.0,41.0,112.0
2021-05-31,53.0,5.0,42.0,111.0
2021-04-30,59.0,8.0,33.0,126.0
2021-03-31,61.0,6.0,33.0,128.0
2021-02-28,54.0,5.0,41.0,113.0
2021-01-31,55.0,5.0,40.0,115.0
2020-12-31,57.0,5.0,38.0,119.0
2020-11-30,54.0,6.0,40.0,114.0
2020-10-31,51.0,7.0,42.0,109.0
2020-09-30,54.0,6.0,40.0,114.0
2020-08-31,51.0,4.0,45.0,106.0
2020-07-31,51.0,4.0,45.0,106.0
2020-06-30,55.0,5.0,40.0,115.0
2020-05-31,51.0,3.0,46.0,105.0
2020-04-30,41.0,4.0,55.0,86.0
2020-03-31,68.0,5.0,27.0,141.0
2020-02-29,75.0,7.0,18.0,157.0
2020-01-31,79.0,5.0,16.0,163.0
2019-12-31,80.0,4.0,16.0,164.0
2019-11-30,75.0,6.0,19.0,156.0
2019-10-31,77.0,6.0,17.0,160.0
2019-09-30,70.0,10.0,20.0,150.0
2019-08-31,70.0,6.0,24.0,146.0
2019-07-31,75.0,6.0,19.0,156.0
2019-06-30,78.0,4.0,18.0,160.0
2019-05-31,72.0,7.0,21.0,151.0
2019-04-30,75.0,9.0,16.0,159.0
2019-03-31,74.0,8.0,18.0,156.0
2019-02-28,76.0,6.0,18.0,158.0
2019-01-31,74.0,7.0,19.0,155.0
2018-12-31,82.0,5.0,13.0,169.0
2018-11-30,77.0,7.0,16.0,161.0
2018-10-31,78.0,7.0,15.0,163.0
2018-09-30,78.0,8.0,14.0,164.0
2018-08-31,74.0,6.0,20.0,154.0
2018-07-31,79.0,6.0,15.0,164.0
2018-06-30,80.0,6.0,14.0,166.0
